nome_comune,common_name,latin_name,gdd_mat,tbase,topt,thigh,tcs,ths,row_btw,row_wtn,yield_sqm,expected_yield,needed_area,ridge_m needed,plants needed,trays needed,sow or transplant,seeds_per_gram,plants per tray,bulbs_per_kg,seeds grams needed,kg bulbs needed,plant family,rotation category,mulch type,compost,mulch meters needed,cycle lenght,price_per_kg,market_value,short cycle sqm,long cycle sqm,cycle in year
Porro,Leek,Allium ampeloprasum,1750,4,18,30,2,28,20,20,3,100,28,38,713,4,transplant,,160,,0.0,0.0,Liliaceae,neutral,none,T,38,long,4.5,450,0,28,2
Cipolla,Onion,Allium cepa,2000,5,20,35,3,33,25,20,3,300,100,133,1995,0,field sow,,,350,0.0,5.7,Liliaceae,neutral,none,T,133,long,3,900,0,100,1
Aglio,Garlic,Allium sativum,2100,4,18,30,2,28,35,15,1,100,100,133,1900,0,field sow,,,220,0.0,8.6,Liliaceae,neutral,none,T,133,long,16,1600,0,100,1
Aglio scalogno,Shallot,Allium cepa,2100,4,18,30,2,28,40,30,1.5,50,12,16,100,0,field sow,,,40,0.0,2.5,Liliaceae,neutral,none,,,long,11,550,0,12,1
Sedano,Celery,Apium graveolens,1700,7,18,26,5,24,35,30,3,100,25,33,236,1,transplant,,160,,0.0,0.0,Apiaceae,neutral,light,T,33,long,4.5,450,0,25,1
Barbabietola,Beetroot,Beta vulgaris,1323,5,18,35,5,33,30,15,3,90,30,40,667,0,field sow ,50,,,13.3,0.0,Amaranthaceae,neutral,none,T,40,long,3.5,315,0,30,2
Bieta da costa,Chard,Beta vulgaris cicla,900,5,18,32,3,30,40,25,3,40,10,13,98,1,transplant,50,160,,2.0,0.0,Amaranthaceae,neutral,light,T,13,short,4,160,10,0,2
Bieta da taglio,Chard,Beta vulgaris cicla,600,5,18,35,3,33,30,10,3,40,13,17,425,3,transplant,,160,,0.0,0.0,Amaranthaceae,neutral,none,T,17,short,6,240,13,0,2
Cavolfiore,Cauliflower,Brassica oleracea botrytis,1500,7,19,27,4,25,60,60,2.5,100,40,53,110,1,transplant,,160,,0.0,0.0,Brassicaceae,exploiter,light,T,53,long,3,300,0,40,1
Cavolo cappuccio,Cabbage,Brassica oleracea capitata,1500,7,19,27,4,25,50,50,4,200,44,59,177,1,transplant,,160,,0.0,0.0,Brassicaceae,exploiter,light,T,59,long,4.5,900,0,44,1
Cavolo riccio,Kale,Brassica oleracea acephala,1400,6,19,27,4,25,50,50,2,120,40,53,159,1,transplant,250,160,,0.6,0.0,Brassicaceae,exploiter,light,T,53,long,12,1440,0,40,2
Cavolo nero,Kale,Brassica oleracea acephala,1400,6,19,27,4,25,50,50,2,120,40,53,159,1,transplant,250,160,,0.6,0.0,Brassicaceae,exploiter,light,T,53,long,12,1440,0,40,2
Cavolo verza,Savoy cabbage,Brassica oleracea sabauda,1500,7,19,27,4,25,60,60,4.5,200,40,53,110,1,transplant,,160,,0.0,0.0,Brassicaceae,exploiter,light,T,53,long,3.5,700,0,40,1
Peperone,Sweet Pepper,Capsicum annuum,1500,15,23,35,13,33,70,50,4.5,125,27,37,79,1,transplant,,84,,0.0,0.0,Solanaceae,exploiter,light,T,37,long,4.5,"562,5",0,27,1
Peperoncino,Pepper,Capsicum annuum,1700,15,23,35,13,33,70,50,0.5,100,22,29,62,0,transplant,,,,0.0,0.0,Solanaceae,exploiter,light,T,29,long,9,900,0,22,1
Anguria,Watermelon,Citrullus lanatus ,2205,10,30,37,8,35,100,100,16,20,1,1,1,0,transplant,10,,,0.1,0.0,Cucurbitaceae,exploiter,heavy ,T,1,long,3,60,0,1,1
Melone,Melon,Cucumis melo,1680,15,25,38,13,36,100,100,2,40,20,26,20,0,transplant,20,,,1.0,0.0,Cucurbitaceae,exploiter,heavy ,T,26,long,3,120,0,20,1
Cetriolo,Cucumber,Cucumis sativus,1653,15,25,35,13,33,100,50,4,40,10,13,20,0,transplant,30,,,0.7,0.0,Cucurbitaceae,exploiter,heavy ,T,13,long,3,120,0,10,1
Zucca,Pumpkin,Cucurbita maxima,2200,10,28,38,8,36,100,100,8,250,50,66,50,1,transplant,3,60,,16.5,0.0,Cucurbitaceae,exploiter,heavy ,T,66,long,3,750,0,50,1
Zucchino,Zucchini,Cucurbita pepo,1250,10,28,38,8,36,100,80,5,300,60,80,75,1,transplant,5,60,,15.0,0.0,Cucurbitaceae,exploiter,light,T,80,long,3.5,1050,0,60,1
Carota,Carrot,Daucus carota,1710,6,18,28,4,26,25,5,3,200,44,59,3540,0,field sow,400,,,8.9,0.0,Apiaceae,neutral,none,F,0,long,4,800,0,44,2
Rucola,Rocket,Eruca vesicaria,472,5,18,38,3,36,25,5,1,20,13,17,1020,0,field sow,3000,,,0.3,0.0,Cucurbitaceae,neutral,none,T,0,short,13,260,13,0,2
Finocchio,Fennel,Foeniculum vulgare,1100,7,20,31,5,29,40,25,3.5,100,28,38,285,2,transplant,,160,,0.0,0.0,Apiaceae,neutral,light,T,38,short,4.5,450,28,0,1
Soia,Soy,Glycine max,1800,20,30,40,18,38,15,15,0.3,40,80,106,3533,0,field sow,5,,,706.7,0.0,Fabaceae,catch crop,none,F,0,long,18,720,0,80,1
Batata ,Sweet potato,Ipomea batatas,2600,15,25,37,8,35,100,15,10,200,20,26,130,0,field sow,,,10,0.0,13.0,Convolvulaceae,exploiter,none,F,0,long,6,1200,0,20,1
Lattuga,Lattuce,Lactuca sativa,745,5,17,27,3,25,30,25,2,30,10,13,130,1,transplant,800,160,,0.2,0.0,Asteraceae,neutral,none,T,13,short,4.5,135,10,0,2
Basilico,Basil,Ocimum basilicum,"661,5",10,25,30,8,28,25,25,2,20,10,13,156,1,transplant,800,160,,0.2,0.0,Lamiaceae,neutral,light,T,13,short,15,300,10,0,1
Prezzemolo,Parsley,Petroselinum crispum,1228,5,18,27,3,25,30,10,2,10,3,4,100,1,transplant,,160,,0.0,0.0,Apiaceae,neutral,none,T,4,long,15,150,0,3,2
Fagiolo,Bean,Phaseolus vulgaris,1282,15,25,35,13,33,25,25,1.5,100,33,44,528,0,field sow,2,,,264.0,0.0,Fabaceae,catch crop,none,F,0,long,6,600,0,33,1
Pisello,Pea,Pisum sativum,1600,5,15,29,3,27,40,5,1.5,100,50,66,2475,0,field sow,3,,,825.0,0.0,Fabaceae,catch crop,none,F,0,long,6,600,0,50,2
Fava,Broad bean,Vicia faba,1300,4,18,30,2,28,70,20,1,50,50,66,354,0,field sow,0.3,,,1178.6,0.0,Fabaceae,catch crop,none,F,0,long,6,300,0,50,2
Daikon,Daikon,Raphanus sativus,1200,5,15,25,3,23,15,15,3,100,33,44,1467,0,field sow,180,,,8.1,0.0,Brassicaceae,neutral,none,T,44,short,4.5,450,33,0,2
Rapa,Turnip,Brassica rapa,1050,5,18,35,3,33,30,15,1.5,20,6,2,33,0,field sow,600,,,0.1,0.0,Brassicaceae,exploiter,none,T,2,short,4,80,6,0,2
Ravanello,Radish,Raphanus sativus,840,5,18,30,3,28,20,5,1,20,20,26,1950,0,field sow,180,,,10.8,0.0,Brassicaceae,neutral,none,T,26,short,9,180,20,0,2
Pomodoro ,Tomato,Solanum lycopersicon,1700,12,21,35,10,33,100,40,3.5,500,111,148,111,0,sow,280,,,0.4,0.0,Solanaceae,exploiter,light,T,148,long,3,1500,0,111,1
Melanzana,Eggplant,Solanum melongena,1396,15,23,35,14,33,90,50,4,150,33,44,73,1,transplant,,84,,0.0,0.0,Solanaceae,exploiter,light,T,44,long,3.5,525,0,33,1
Patata,Potato,Solanum tuberosum,2600,6,16,27,4,25,60,40,3,250,83,111,347,0,transplant,,,20,0.0,17.3,Solanaceae,exploiter,none,F,0,long,3,750,0,83,1
Spinacio,Spinach,Spinacia oleracea,882,5,15,25,3,23,20,10,2,100,50,66,2475,0,sow,90,,,27.5,0.0,Amaranthaceae,neutral,none,T,0,short,12,1200,50,0,2
Mais,Corn,Zea mays,2700,10,30,39,8,37,50,30,2,10,5,6,30,0,field sow,6,,,5.0,0.0,Poaceae,exploiter,none,T,6,long,6,60,0,5,1
Frumento ,Wheat,Triticum,1950,1,26,33,-3,31,10,3,0.3,0,0,0,0,0,field sow,25,,,0.0,0.0,,,none,,,,,,,,
Segale,Rye,Secale cereale,1900,1,26,33,-3,31,10,3,0.2,0,0,0,0,0,field sow,40,,,0.0,0.0,,,none,,,,,,,,
Arachide,Peanut,Arachis hypogaea,2800,18,30,38,16,36,40,15,0.2,5,25,33,413,0,field sow,1.2,,,343.8,0.0,,,,,,,,,,,
,,,,,,,,,,,,,1419,,,,,,,,,,,,,,,,,,,,
