riferimento,tipologia,localizzazione proda,zona,lunghezza,larghezza,mq totali,mp totali,ultima coltivazione,orto 2022 primaverile,Sesto d'impianto,semina,trapianto,settimana ricevimento da vivaio,orto 2022 autunnale,giorno di semina,giorno di trapianto,semina,settimana di semina,settimana di trapianto,settimana ricevimento da vivaio
serre in basso,aperto,vb1,valle,18,120,"21,6",18,zucca,batata,,19-4,,,frumento,,,,,,
serre in basso,coperto,vb2s,valle,20,75,15,20,melone,aglio,37.5x15,02-03,,,cavolo cappuccio,,,,,,
serre in basso,coperto,vb3s,valle,20,75,15,20,zucchina,porro,,02-03,,,cavolo cappuccio,,,,,,
serre in basso,coperto,vb4s,valle,20,75,15,20,fava,pomodoro ciliegino,,23-3,,,cavolo cappuccio,,,,,,
serre in basso,coperto,vb5s,valle,20,75,15,20,fava,pomodoro ciliegino,,23-3,,,cavolo verza,,,,,,
serre in basso,coperto,vb6s,valle,20,75,15,20,anguria,aglio,37.5x12.5,02-03,,,cavolo verza,,,,,,
serre in basso,coperto,vb7s,valle,20,75,15,20,melanzana,daikon,,20-2,,,cavolo rapa,,,,,,
serre in basso,coperto,vb8s,valle,21,120,"25,2",21,peperone,daikon,,26-2,,,cavolo rapa,,,,,,
serre in basso,coperto,vb9s,valle,21,120,"25,2",21,verza,pomodoro ciliegino,,12-3,,,cavolfiore,,,,,,
serre in basso,coperto,vb10s,valle,21,75,"15,75",21,-,pomodoro,,23-3,,,cavolfiore,,,,,,
terrazzamento,aperto,va1,valle,20,75,15,20,fagiolo,pomodoro,,23-3,,,rucola,,,,,,
terrazzamento,aperto,va2,valle,20,75,15,20,fagiolo,pomodoro,,23-3,,,spinacio,,,,,,
terrazzamento,aperto,va3,valle,20,75,15,20,peperone,cipolla,37.5x12.5,11-3,,,bietola da taglio,,,,,,
terrazzamento,aperto,va4,valle,20,75,15,20,melanzana,carota,,27-2,,,insalata,,,,,,
serra grande,aperto,va5,valle,36,120,"43,2",36,bieta/finocchio,pomodoro,,23-3,,,cavolo riccio,,,,,,
serra grande,aperto,va6,valle,36,120,"43,2",36,carciofo,carciofo,,,,,carciofo,,,,,,
serra grande,coperto,sg1,valle,36,75,27,36,cavolo,cetriolo,,27-4,,,broccolo,,,,,,
serra grande,coperto,sg2,valle,36,75,27,36,pomodoro,aglio,37.5x15,02-03,,,cavolo cappuccio,,,,,,
serra grande,coperto,sg3,valle,36,75,27,36,pomodoro,aglio,37.5x12.5,02-03,,,cavolo cappuccio,,,,,,
