nchar_id,schar_descr,schar_type
1,Leaf: Intensity of green colour,QN
2,Leaf: anthocyanin coloration,QL
3,Leaf: distribution of anthocyanin coloration,PQ
4,Leaf: anthocyanin coloration of auricles,QL
5,Leaf blade: length,QN
6,Leaf blade: width,QN
7,Flag leaf: attitude of blade (early observation),QN
8,Flag leaf: attitude of blade (late observation),QN
9,Time of heading (50% of plants with heads) ,QN
10,Male sterility,PQ
11,Lemma: anthocyanin coloration of keel (early observation),QN
12,Lemma: anthocyanin coloration of area below apex (early observation),QN
13,Lemma: anthocyanin coloration of apex (early observation),QN
14,Spikelet: colour of stigma,PQ
15,Stem: length (excluding panicle),QN
16,Stem: anthocyanin coloration of nodes,QL
17,Stem: anthocyanin coloration of internodes,QL
18,Panicle: length of main axis,QN
19,Panicle: awns,QL
20,Panicle: distribution of awns,PQ
21,Panicle: length of longest awns,QN
22,Spikelet: pubescence of lemma ,QN
23,Spikelet: colour of tip of lemma ,PQ
24,Panicle: attitude in relation to stem,PQ
25,Panicle: attitude of branches,QN
26,Panicle: exsertion,QN
27,Time of maturity,QN
28,Lemma: colour,PQ
29,Grain: weight of 1000 fully developed grain,QN
30,Grain: length,QN
31,Grain: width,QN
32,Decorticated grain: length,QN
33,Decorticated grain: width,QN
34,Decorticated grain: shape (in lateral view) ,PQ
35,Decorticated grain: colour,PQ
36,Endosperm: type,PQ
37,Endosperm: content of amylose,PQ
38,Decorticated grain: aroma,PQ
