nchar_id,nclass.id,sclass.descr,nmax.value
1,3,light,0
1,5,medium,NA
1,7,dark,NA
2,1,absent,NA
2,9,present,NA
3,1,on tips only,NA
3,2,on margin only,NA
3,3,in blotches only,NA
3,4,even,NA
4,1,absent,NA
4,9,present,NA
5,3,short,NA
5,5,medium,NA
5,7,long,NA
6,3,narrow,NA
6,5,medium,NA
6,7,broad,NA
7,1,erect,NA
7,3,semi-erect,NA
7,5,horizontal,NA
7,7,recurved,NA
8,1,erect,NA
8,3,semi-erect,NA
8,5,horizontal,NA
8,7,recurved,NA
9,1,very early,77
9,3,early,83
9,5,medium,91
9,7,late,98
9,9,very late,0
10,1,absent,NA
10,2,partially male sterile,NA
10,3,male sterile,NA
11,1,absent or very weak,NA
11,3,weak,NA
11,5,medium,NA
11,7,strong,NA
12,1,absent or very weak,NA
12,3,weak,NA
12,5,medium,NA
12,7,strong,NA
13,1,absent or very weak,NA
13,3,weak,NA
13,5,medium,NA
13,7,strong,NA
13,9,very strong,NA
14,1,white,NA
14,2,light green,NA
14,3,yellow,NA
14,4,light purple,NA
14,5,purple,NA
15,1,very short,60
15,3,short,75
15,5,medium,90
15,7,long,100
15,9,very long,0
16,1,absent,NA
16,9,present,NA
17,1,absent,NA
17,9,present,NA
18,3,short,14
18,5,medium,20
18,7,long,0
19,1,absent,NA
19,9,present,NA
20,1,tip only,NA
20,2,1/4 upper only,NA
20,3,upper half only,NA
20,4,3/4 of total length,NA
20,5,whole length,NA
21,1,very short,NA
21,3,short,NA
21,5,medium,NA
21,7,long,NA
21,9,very long,NA
22,1,absent or very weak,NA
22,3,weak,NA
22,5,medium,NA
22,7,strong,NA
22,9,very strong,NA
23,1,white,NA
23,2,yellowish,NA
23,3,brown,NA
23,4,red,NA
23,5,purple,NA
23,6,black,NA
24,1,upright,NA
24,2,semi-upright,NA
24,3,slightly drooping,NA
24,4,strongly drooping,NA
25,1,erect,NA
25,3,semi-erect,NA
25,5,spreading,NA
26,1,enclosed,NA
26,3,partly exserted,NA
26,5,just exserted,NA
26,7,moderately-well exserted,NA
26,9,well exserted,NA
27,1,very early,124
27,3,early,135
27,5,intermediate,145
27,7,late,160
27,9,very late,0
28,1,light gold,NA
28,2,gold,NA
28,3,brown,NA
28,4,reddish to light purple,NA
28,5,purple,NA
28,6,black,NA
29,3,low,25
29,5,medium,35
29,7,high,0
30,3,short,7.5
30,5,medium,8.5
30,7,long,0
31,3,narrow,2.8
31,5,medium,3.7
31,7,broad,0
32,3,short,5.5
32,5,medium,6.3
32,7,long,0
33,3,narrow,2.5
33,5,medium,3
33,7,broad,0
34,1,round,NA
34,2,semi-round,NA
34,3,half spindle-shaped,NA
34,4,spindle-shaped,NA
34,5,long spindle-shaped,NA
35,1,white,NA
35,2,light brown,NA
35,3,variegated brown,NA
35,4,dark brown,NA
35,5,light red,NA
35,6,red,NA
35,7,variegated purple,NA
35,8,purple,NA
35,9,dark purple / black,NA
36,1,glutinous,NA
36,2,intermediate,NA
36,3,non-glutinous,NA
37,1,low,NA
37,2,high,NA
38,1,absent or very weak,NA
38,2,weak,NA
38,3,strong,NA
