ID,Lato,Colonna,Fila,Posto,Varietà,Anno Produzione,Peso,Germinabilità,Ibrido,Note
270,S,999,0,1,RTH17,2017,3000,,,
271,S,999,0,2,RTH33,2017,3000,,,
272,S,999,0,3,RTH27,2017,3000,,,
273,S,999,0,4,SYN-RI-20530,2017,2000,,,
274,S,999,0,5,SYN-RI-NA-9531,2017,1000,,,
275,S,999,0,6,RFH1612284,2017,1500,,,
276,S,999,0,7,RTF1612282,2017,1500,,,
277,S,999,0,8,SYN-RI-NB9531,2017,400,,,
478,S,999,0,9,Isabela,2021,1700,,,3G/21
479,S,999,0,10,Grifone,2021,1500,,,2G/21
1,S,100,1, 1 ,Carnaroli,2020,550,,,
2,S,100,1, 2 ,Lemont,2020,550,,,
3,S,100,1, 3 ,Gladio,2020,550,,,
4,S,100,1, 4 ,Ariete,2020,550,,,
5,S,100,1, 5 ,CL12,2020,550,,,
6,S,100,1, 6 ,Alegre,2020,550,,,
7,S,100,1, 7 ,Dardo,2020,550,,,
8,S,100,1, 8 ,Centauro,2020,550,,,
9,S,100,1, 9 ,Baldo,2020,550,,,
10,S,100,1, 10 ,Karnak,2020,550,,,
11,S,100,1, 11 ,Lampo,2020,550,,,
12,S,100,1, 12 ,Galatxo,2020,550,,,
13,S,100,1, 13 ,Diana,2020,412,,,
14,S,100,1, 14 ,Ermes,2020,550,,,
15,S,100,1, 15 ,Copsemar9,2020,550,,,
16,S,100,1, 16 ,Dorella,2020,550,,,
17,S,100,2, 1 ,Irene,2020,550,,,
18,S,100,2, 2 ,Isabella,2020,550,,,
19,S,100,2, 3 ,Lince,2020,550,,,
20,S,100,2, 4 ,Veta,2020,550,,,
21,S,100,2, 5 ,Lido,2020,550,,,
22,S,100,2, 6 ,Roma,2020,550,,,
23,S,100,2, 7 ,Puntal,2020,550,,,
24,S,100,2, 8 ,Luna CL,2020,550,,,
25,S,100,2, 9 ,Moleta,2020,400,,,
26,S,100,2, 10 ,Macarico,2020,400,,,
27,S,100,2, 11 ,Yume,2020,550,,,
28,S,100,2, 12 ,Guadiamar,2020,550,,,
29,S,100,2, 13 ,Onice,2020,550,,,
30,S,100,2, 14 ,Tea,2020,550,,,
31,S,100,2, 15 ,Thaibonnet,2020,550,,,
32,S,100,2, 16 ,Volano,2020,550,,,
33,S,100,3, 1 ,Solù,2020,550,,,
34,S,100,3, 2 ,SYCR86,2009,550,,S,
35,S,100,3, 3 ,Senia,2014,550,,,
36,S,100,3, 4 ,Thainato,2018,550,,,
37,S,100,3, 5 ,SYCR85,2009,550,,S,
38,S,100,3, 6 ,SYCR73,2008,100,,,
39,S,100,3, 7 ,Marquesa,2013,550,,,
40,S,100,3, 8 ,SYCR72,2009,530,,S,
41,S,100,3, 9 ,Puebla,2017,500,,,
42,S,100,3, 10 ,Ricastello,2014,700,,,
43,S,100,3, 11 ,Susan,2017,550,,,
44,S,100,3, 12 ,SYCR90,2008,100,,S,
45,S,100,3, 13 ,Bahia,2018,550,,,
46,S,100,3, 14 ,Betis,2015,500,,,
47,S,100,3, 15 ,SYCR128,2018,90,,S,
48,S,100,3, 16 ,Jacinto,2014,500,,,
49,S,100,4, 1 ,Marjal,2017,500,,,
50,S,100,4, 2 ,Ilda,2017,500,,,
51,S,100,4, 3 ,Guara,2018,500,,,
52,S,100,4, 4 ,Pinana,2016,500,,,
53,S,100,4, 5 ,Marisma,2017,500,,,
54,S,100,4, 6 ,Ispagran,2017,500,,,
55,S,100,4, 7 ,Mareny,2017,500,,,
56,S,100,4, 8 ,Guadiagran,2018,500,,,
